date,mean_forecast,lower_95,upper_95
2026-01-01,16.467247,10.456939,19.73416
2026-02-01,16.628277,11.351413,19.927923
2026-03-01,16.840319,11.914453,20.142338
2026-04-01,16.860424,12.139203,20.296452
2026-05-01,16.86011,11.677067,20.50962
2026-06-01,16.726551,11.344065,19.988031
2026-07-01,16.715824,11.823403,19.849789
2026-08-01,16.794992,12.496172,20.108
2026-09-01,16.627188,11.392026,20.02589
2026-10-01,16.852318,12.784778,19.930344
2026-11-01,16.733807,12.819514,20.171597
2026-12-01,16.72395,11.749764,19.810999
