date,mean_forecast,lower_95,upper_95
2026-01-01,18.131716,12.540372,23.723061
2026-02-01,18.344942,12.651639,24.038244
2026-03-01,17.65449,11.954005,23.354976
2026-04-01,17.394051,11.68612,23.101982
2026-05-01,17.905189,12.189823,23.620555
2026-06-01,16.497493,10.774701,22.220285
2026-07-01,11.601405,5.871197,17.331613
2026-08-01,15.207692,9.470077,20.945306
2026-09-01,18.19202,12.447009,23.937032
2026-10-01,24.676483,18.924085,30.428882
2026-11-01,20.861521,15.101744,26.621297
2026-12-01,18.253259,12.486114,24.020404
