date,year,month,mean_rad,median_rad,std_rad,min_rad,max_rad,valid_pixels,total_pixels,valid_pixel_ratio,mean_rad_smooth,cleaned
2014-01-01,2014,1,14.627386,7.420718,16.806007,0.572941,134.067917,6162,6241,0.9873,14.900869,0
2014-02-01,2014,2,15.174353,8.494837,16.211349,0.848201,96.404381,6162,6241,0.9873,14.743816,0
2014-03-01,2014,3,14.42971,7.737074,15.874259,0.791581,128.849045,6162,6241,0.9873,13.945833,0
2014-04-01,2014,4,12.233435,7.20624,12.551464,0.834436,81.127655,6162,6241,0.9873,12.524095,0
2014-05-01,2014,5,10.90914,5.996696,12.073743,0.534956,71.400398,6162,6241,0.9873,11.530984,0
2014-06-01,2014,6,11.450378,6.500441,12.325258,0.591923,86.333496,6162,6241,0.9873,11.011603,0
2014-07-01,2014,7,10.675291,4.631165,13.873752,0.0,133.651581,6162,6241,0.9873,10.726144,0
2014-08-01,2014,8,10.052762,5.07201,11.818773,0.298939,85.951393,6162,6241,0.9873,13.250321,0
2014-09-01,2014,9,19.022909,8.491287,22.839916,0.770517,128.099045,6162,6241,0.9873,17.536331,0
2014-10-01,2014,10,23.533323,11.43576,26.219841,0.950596,131.188202,6162,6241,0.9873,19.044301,0
2014-11-01,2014,11,14.576672,8.014551,15.869676,0.626549,103.452637,6162,6241,0.9873,17.951486,0
2014-12-01,2014,12,15.744463,7.908756,18.038172,0.553104,120.413277,6162,6241,0.9873,15.838084,0
2015-01-01,2015,1,17.193117,9.639246,18.173286,0.910222,108.901817,6162,6241,0.9873,15.652978,0
2015-02-01,2015,2,14.021353,7.992323,14.732305,1.08179,89.634972,6162,6241,0.9873,15.072399,0
2015-03-01,2015,3,14.002728,7.811463,14.80822,0.985681,94.681427,6162,6241,0.9873,13.915974,0
2015-04-01,2015,4,13.723842,7.478243,14.874172,0.921523,91.485413,6162,6241,0.9873,13.382832,0
2015-05-01,2015,5,12.421927,7.113901,12.857609,0.924347,87.879364,6162,6241,0.9873,12.445583,0
2015-06-01,2015,6,11.190979,5.470952,12.820518,0.095731,155.28833,6162,6241,0.9873,11.651692,0
2015-07-01,2015,7,11.342171,6.162436,12.401149,0.0,87.701469,6162,6241,0.9873,11.046088,0
2015-08-01,2015,8,10.605115,5.696942,11.650434,0.0,72.573662,6162,6241,0.9873,11.43376,0
2015-09-01,2015,9,12.353993,6.540227,13.712385,0.511358,97.669662,6162,6241,0.9873,14.569093,0
2015-10-01,2015,10,20.748171,9.33145,24.666702,0.839247,137.416168,6162,6241,0.9873,18.444842,0
2015-11-01,2015,11,22.232361,12.277854,22.275053,1.272371,104.931221,6162,6241,0.9873,18.816383,0
2015-12-01,2015,12,13.468616,8.09037,13.415217,0.874815,70.584839,6162,6241,0.9873,16.347563,0
2016-01-01,2016,1,13.341711,7.244432,14.381254,0.547912,77.722542,6162,6241,0.9873,13.411405,0
2016-02-01,2016,2,13.423887,8.160917,13.059913,0.81019,67.075066,6162,6241,0.9873,13.467757,0
2016-03-01,2016,3,13.637673,7.784414,14.26263,0.8615,113.618759,6162,6241,0.9873,13.077556,0
2016-04-01,2016,4,12.171109,6.945879,12.551408,0.829118,81.489693,6162,6241,0.9873,12.797619,0
2016-05-01,2016,5,12.584075,7.10515,13.057701,0.875338,97.341354,6162,6241,0.9873,13.087369,0
2016-06-01,2016,6,14.506923,7.195204,16.596205,0.645352,115.286514,6162,6241,0.9873,12.955638,0
2016-07-01,2016,7,11.775916,6.327551,13.976074,0.0,80.557144,6162,6241,0.9873,13.26852,0
2016-08-01,2016,8,13.522721,6.39419,15.877854,0.398604,109.590881,6162,6241,0.9873,12.423223,0
2016-09-01,2016,9,11.971032,5.733838,14.163853,0.474718,79.256371,6162,6241,0.9873,16.187478,0
2016-10-01,2016,10,23.068682,11.280794,25.942261,1.062971,140.102936,6162,6241,0.9873,16.498121,0
2016-11-01,2016,11,14.454649,8.651476,14.438913,0.897038,117.732452,6162,6241,0.9873,17.229158,0
2016-12-01,2016,12,14.164144,7.728564,15.315259,0.505765,102.884476,6162,6241,0.9873,14.773672,0
2017-01-01,2017,1,15.702222,8.72344,16.760281,0.683022,108.177917,6162,6241,0.9873,15.151879,0
2017-02-01,2017,2,15.589272,9.054005,15.874054,0.964632,91.04174,6162,6241,0.9873,14.813865,0
2017-03-01,2017,3,13.150101,8.169621,12.639313,1.184308,64.443512,6162,6241,0.9873,13.286981,0
2017-04-01,2017,4,11.121571,7.106225,10.322873,0.959306,60.078339,6162,6241,0.9873,12.366028,0
2017-05-01,2017,5,12.826411,7.234859,13.335678,1.001851,95.339127,6162,6241,0.9873,12.175097,0
2017-06-01,2017,6,12.577309,8.001411,11.98451,0.0,74.27314,6162,6241,0.9873,12.509223,0
2017-07-01,2017,7,12.12395,7.296186,12.064596,0.0,77.280838,6162,6241,0.9873,11.605559,0
2017-08-01,2017,8,10.115417,3.878447,14.857058,0.0,324.501465,6162,6241,0.9873,13.106208,0
2017-09-01,2017,9,17.079256,7.677339,20.577829,0.713087,161.766861,6162,6241,0.9873,14.083275,0
2017-10-01,2017,10,15.055152,8.52,15.167306,1.29,150.199997,6162,6241,0.9873,15.62072,0
2017-11-01,2017,11,14.727752,7.625,16.277224,0.92,118.809998,6162,6241,0.9873,14.877032,0
2017-12-01,2017,12,14.848191,8.175,15.827485,0.67,93.470001,6162,6241,0.9873,14.985526,0
2018-01-01,2018,1,15.380634,8.71,16.043594,0.85,88.580002,6162,6241,0.9873,15.210476,0
2018-02-01,2018,2,15.402604,9.15,15.222649,1.09,86.150002,6162,6241,0.9873,14.389309,0
2018-03-01,2018,3,12.384689,7.75,11.727075,1.2,62.66,6162,6241,0.9873,13.677415,0
2018-04-01,2018,4,13.244951,8.32,12.687287,1.22,76.540001,6162,6241,0.9873,12.660769,0
2018-05-01,2018,5,12.352668,7.66,11.823803,1.19,62.25,6162,6241,0.9873,13.288695,0
2018-06-01,2018,6,14.268466,9.06,13.705371,1.22,84.849998,6162,6241,0.9873,13.112748,0
2018-07-01,2018,7,12.71711,6.89,13.892222,0.38,104.260002,6162,6241,0.9873,13.308137,0
2018-08-01,2018,8,12.938836,6.8,14.160209,0.74,88.550003,6162,6241,0.9873,12.094473,0
2018-09-01,2018,9,10.627473,6.03,10.976274,0.75,78.25,6162,6241,0.9873,15.611345,0
2018-10-01,2018,10,23.267725,11.2,26.347332,1.17,146.880005,6162,6241,0.9873,17.852637,0
2018-11-01,2018,11,19.662714,11.235,19.202396,1.3,166.970001,6162,6241,0.9873,19.494091,0
2018-12-01,2018,12,15.551833,8.64,16.306162,0.85,98.519997,6162,6241,0.9873,17.162333,0
2019-01-01,2019,1,16.272451,8.495,17.674501,0.69,107.150002,6162,6241,0.9873,16.244669,0
2019-02-01,2019,2,16.909723,9.675,17.283978,1.01,106.080002,6162,6241,0.9873,16.155236,0
2019-03-01,2019,3,15.283535,8.5,15.940441,0.99,95.510002,6162,6241,0.9873,15.39521,0
2019-04-01,2019,4,13.992373,8.725,13.429109,1.28,96.879997,6162,6241,0.9873,14.459063,0
2019-05-01,2019,5,14.101282,8.59,13.781207,1.13,114.760002,6162,6241,0.9873,13.740105,0
2019-06-01,2019,6,13.126661,8.255,12.671555,1.14,85.459999,6162,6241,0.9873,13.180568,0
2019-07-01,2019,7,12.31376,6.315,13.64306,0.66,90.639999,6162,6241,0.9873,13.03274,0
2019-08-01,2019,8,13.657798,7.23,15.149733,0.67,118.760002,6162,6241,0.9873,12.090537,0
2019-09-01,2019,9,10.300054,5.305,11.725032,0.0,119.32,6162,6241,0.9873,16.663237,0
2019-10-01,2019,10,26.031858,13.115,27.987955,1.48,146.520004,6162,6241,0.9873,16.846748,0
2019-11-01,2019,11,14.208333,7.82,15.16127,0.85,132.919998,6162,6241,0.9873,18.626956,0
2019-12-01,2019,12,15.640678,8.25,17.309849,0.66,158.910004,6162,6241,0.9873,15.23679,0
2020-01-01,2020,1,15.861358,8.63,17.042654,0.78,141.059998,6162,6241,0.9873,15.913749,0
