date,year,month,mean_rad,median_rad,std_rad,min_rad,max_rad,valid_pixels,total_pixels,valid_pixel_ratio
2014-01-01,2014,1,3.47818,1.667514,4.330419,0.147322,31.625109,1575,1575,1.0
2014-02-01,2014,2,4.213045,2.137168,5.035485,0.28747,29.441826,1575,1575,1.0
2014-03-01,2014,3,3.68909,1.935945,4.213994,0.400789,24.898664,1575,1575,1.0
2014-04-01,2014,4,3.302583,1.906849,3.38106,0.514558,22.881754,1575,1575,1.0
2014-05-01,2014,5,2.725625,1.424686,3.277689,0.207633,23.927513,1575,1575,1.0
2014-06-01,2014,6,2.8936,1.722548,2.922948,0.332583,22.404667,1575,1575,1.0
2014-07-01,2014,7,2.735598,1.276632,3.421686,0.272757,26.481428,1575,1575,1.0
2014-08-01,2014,8,2.896698,1.248608,3.869218,0.229212,28.234814,1575,1575,1.0
2014-09-01,2014,9,3.860164,1.994635,4.336542,0.443438,24.717281,1575,1575,1.0
2014-10-01,2014,10,4.822019,2.169183,6.286895,0.347493,38.394691,1575,1575,1.0
2014-11-01,2014,11,4.093419,1.870661,5.085001,0.102831,30.259325,1575,1575,1.0
2014-12-01,2014,12,4.255398,1.93115,5.393631,0.220793,32.282566,1575,1575,1.0
2015-01-01,2015,1,4.44753,1.982202,5.633972,0.243118,34.518608,1575,1575,1.0
2015-02-01,2015,2,4.101705,2.263536,4.366787,0.448578,28.956512,1575,1575,1.0
2015-03-01,2015,3,3.793926,2.004384,4.280347,0.455485,34.523006,1575,1575,1.0
2015-04-01,2015,4,3.567228,2.11802,3.579111,0.515049,23.762194,1575,1575,1.0
2015-05-01,2015,5,3.028242,1.755994,3.023464,0.436529,21.703089,1575,1575,1.0
2015-06-01,2015,6,3.682853,1.60369,4.808069,0.225075,38.993195,1575,1575,1.0
2015-07-01,2015,7,1.579131,0.0,2.852952,0.0,21.359032,1575,1575,1.0
2015-08-01,2015,8,2.652212,1.402757,3.549822,0.134275,45.115555,1575,1575,1.0
2015-09-01,2015,9,3.99505,1.590461,5.351409,0.258894,42.314857,1575,1575,1.0
2015-10-01,2015,10,4.497276,2.053763,5.619029,0.312242,42.90358,1575,1575,1.0
2015-11-01,2015,11,5.58287,2.814526,6.739923,0.490764,49.019714,1575,1575,1.0
2015-12-01,2015,12,3.728144,2.1288,3.842305,0.43136,21.496378,1575,1575,1.0
2016-01-01,2016,1,3.60495,1.84329,4.271138,0.157851,24.018341,1575,1575,1.0
2016-02-01,2016,2,3.425507,1.976213,3.753512,0.145291,23.672071,1575,1575,1.0
2016-03-01,2016,3,3.687344,2.099152,3.944591,0.340895,29.586319,1575,1575,1.0
2016-04-01,2016,4,3.715262,2.17654,3.767773,0.388503,27.015312,1575,1575,1.0
2016-05-01,2016,5,3.394348,1.860116,3.591952,0.49288,25.545643,1575,1575,1.0
2016-06-01,2016,6,3.820425,1.69687,4.834042,0.304651,39.625862,1575,1575,1.0
2016-07-01,2016,7,4.124192,1.94401,5.0962,0.0,36.417007,1575,1575,1.0
2016-08-01,2016,8,3.708413,1.62347,4.672306,0.287972,42.033253,1575,1575,1.0
2016-09-01,2016,9,3.582735,1.627164,4.527652,0.315067,36.746204,1575,1575,1.0
2016-10-01,2016,10,5.538822,2.264225,7.969086,0.454607,54.267986,1575,1575,1.0
2016-11-01,2016,11,4.366044,2.36231,4.875054,0.334097,30.156099,1575,1575,1.0
2016-12-01,2016,12,4.370536,2.175895,5.113557,0.231363,32.100761,1575,1575,1.0
2017-01-01,2017,1,4.97307,2.293134,6.157287,0.308513,40.26833,1575,1575,1.0
2017-02-01,2017,2,5.161692,2.613111,5.948237,0.424868,38.778076,1575,1575,1.0
2017-03-01,2017,3,4.012537,2.236747,4.27878,0.425146,35.492489,1575,1575,1.0
2017-04-01,2017,4,3.691333,2.350233,3.338446,0.722328,24.425076,1575,1575,1.0
2017-05-01,2017,5,3.884346,2.464556,3.417771,0.78823,22.895622,1575,1575,1.0
2017-06-01,2017,6,3.699562,2.045496,4.038336,0.511775,30.199965,1575,1575,1.0
2017-07-01,2017,7,1.743801,0.791468,2.685732,0.0,24.452068,1575,1575,1.0
2017-08-01,2017,8,3.143139,1.705779,3.569474,0.341388,27.961372,1575,1575,1.0
2017-09-01,2017,9,3.98074,2.014845,4.432298,0.448016,25.069008,1575,1575,1.0
2017-10-01,2017,10,4.240146,2.45,4.384863,0.69,26.309999,1575,1575,1.0
2017-11-01,2017,11,4.450248,2.33,4.901111,0.54,30.389999,1575,1575,1.0
2017-12-01,2017,12,4.756464,2.4,5.44457,0.4,34.82,1575,1575,1.0
2018-01-01,2018,1,4.756527,2.45,5.289896,0.44,31.33,1575,1575,1.0
2018-02-01,2018,2,4.924959,2.76,5.23595,0.51,32.919998,1575,1575,1.0
2018-03-01,2018,3,3.98499,2.54,3.689926,0.6,25.309999,1575,1575,1.0
2018-04-01,2018,4,4.612565,2.82,4.404005,0.8,32.580002,1575,1575,1.0
2018-05-01,2018,5,4.176,2.7,3.669114,0.8,23.200001,1575,1575,1.0
2018-06-01,2018,6,4.199962,2.41,4.228379,0.72,28.77,1575,1575,1.0
2018-07-01,2018,7,3.978971,2.23,4.359432,0.53,35.990002,1575,1575,1.0
2018-08-01,2018,8,3.624737,1.75,4.33862,0.44,34.389999,1575,1575,1.0
2018-09-01,2018,9,3.465174,1.8,3.912615,0.5,25.27,1575,1575,1.0
2018-10-01,2018,10,5.259962,2.41,6.526033,0.55,42.259998,1575,1575,1.0
